1 15 #
24 29 2339.516129032258 1270.8333333333333
24 29 2314.112903225807 1024.621212121212
24 29 2270.564516129032 844.6969696969695
24 29 2197.983870967742 636.3636363636363
24 29 2089.112903225807 437.4999999999999
24 29 1972.983870967742 285.9848484848484
24 29 1802.4193548387098 181.81818181818176
25 27 #
25 27 1755.241935483871 210.22727272727263
25 27 1845.967741935484 267.0454545454545
25 27 1943.9516129032259 475.37878787878776
25 27 1998.3870967741937 664.7727272727273
25 27 2045.5645161290322 977.272727272727
25 27 2049.1935483870966 1232.9545454545453
25 27 2067.3387096774195 1621.212121212121
25 27 2067.3387096774195 2075.7575757575755
25 27 2067.3387096774195 2407.1969696969695
25 27 2056.451612903226 2814.393939393939
25 27 2056.451612903226 3240.5303030303025
25 27 2125.4032258064517 3306.8181818181815
25 27 2346.7741935483873 3354.1666666666665
25 27 2383.064516129032 3174.242424242424
25 27 2379.435483870968 2785.984848484848
25 27 2375.8064516129034 2473.484848484848
25 27 2357.6612903225805 2160.984848484848
25 27 2346.7741935483873 1914.772727272727
25 27 2332.258064516129 1659.090909090909
25 27 2299.5967741935483 1337.121212121212
25 27 2266.935483870968 996.212121212121
25 27 2197.983870967742 778.4090909090908
25 27 2107.258064516129 541.6666666666665
25 27 2005.6451612903227 428.030303030303
25 27 1943.9516129032259 323.86363636363626
25 27 1878.6290322580644 238.6363636363635
25 27 1758.8709677419356 210.22727272727263
26 26 #
26 26 1831.4516129032259 229.16666666666663
26 26 1965.725806451613 437.4999999999999
26 26 2063.709677419355 806.8181818181818
26 26 2070.967741935484 1043.560606060606
26 26 2085.483870967742 1374.9999999999998
26 26 2085.483870967742 1687.5
26 26 2085.483870967742 2037.8787878787875
26 26 2085.483870967742 2369.3181818181815
26 26 2085.483870967742 2606.060606060606
26 26 2085.483870967742 2937.4999999999995
26 26 2085.483870967742 3231.0606060606056
26 26 2161.6935483870966 3325.7575757575755
26 26 2295.967741935484 3325.7575757575755
26 26 2422.983870967742 3316.2878787878785
26 26 2422.983870967742 2965.9090909090905
26 26 2415.7258064516127 2530.30303030303
26 26 2386.6935483870966 2170.454545454545
26 26 2368.548387096774 1857.954545454545
26 26 2335.8870967741937 1479.1666666666665
26 26 2321.3709677419356 1157.1969696969695
26 26 2281.451612903226 901.5151515151515
26 26 2183.467741935484 655.3030303030303
26 26 2070.967741935484 551.1363636363635
26 26 2016.532258064516 399.621212121212
26 26 1904.032258064516 219.69696969696963
26 26 1831.4516129032259 210.22727272727263
27 26 #
27 26 1791.532258064516 162.87878787878776
27 26 1882.258064516129 304.9242424242424
27 26 1969.3548387096776 503.78787878787875
27 26 2031.0483870967741 768.9393939393938
27 26 2063.709677419355 1128.7878787878785
27 26 2063.709677419355 1365.5303030303028
27 26 2063.709677419355 1772.7272727272725
27 26 2067.3387096774195 2113.6363636363635
27 26 2081.8548387096776 2539.772727272727
27 26 2078.2258064516127 2871.212121212121
27 26 2074.5967741935483 3136.363636363636
27 26 2089.112903225807 3316.2878787878785
27 26 2205.241935483871 3325.7575757575755
27 26 2343.145161290323 3325.7575757575755
27 26 2375.8064516129034 3145.833333333333
27 26 2375.8064516129034 2757.575757575757
27 26 2375.8064516129034 2454.545454545454
27 26 2361.290322580645 2094.6969696969695
27 26 2357.6612903225805 1810.6060606060605
27 26 2317.741935483871 1488.6363636363635
27 26 2310.483870967742 1128.7878787878785
27 26 2266.935483870968 844.6969696969695
27 26 2183.467741935484 617.4242424242423
27 26 2049.1935483870966 380.68181818181813
27 26 1925.8064516129034 238.6363636363635
27 26 1791.532258064516 143.93939393939388
28 22 #
28 22 1708.0645161290322 143.93939393939388
28 22 1849.5967741935483 323.86363636363626
28 22 1994.758064516129 655.3030303030303
28 22 2063.709677419355 1109.8484848484848
28 22 2063.709677419355 1554.924242424242
28 22 2063.709677419355 2227.272727272727
28 22 2063.709677419355 2833.333333333333
28 22 2063.709677419355 3174.242424242424
28 22 2129.032258064516 3287.8787878787875
28 22 2256.048387096774 3306.8181818181815
28 22 2325.0 3136.363636363636
28 22 2350.4032258064517 2823.863636363636
28 22 2354.032258064516 2378.7878787878785
28 22 2354.032258064516 1971.590909090909
28 22 2354.032258064516 1649.621212121212
28 22 2350.4032258064517 1308.712121212121
28 22 2325.0 1015.151515151515
28 22 2270.564516129032 712.121212121212
28 22 2168.951612903226 522.7272727272726
28 22 2020.1612903225807 323.86363636363626
28 22 1820.5645161290322 143.93939393939388
28 22 1704.4354838709678 125.0
29 24 #
29 24 1700.8064516129034 172.34848484848476
29 24 1806.0483870967741 371.21212121212113
29 24 1925.8064516129034 683.712121212121
29 24 1958.467741935484 1024.621212121212
29 24 1994.758064516129 1441.2878787878785
29 24 1994.758064516129 1820.0757575757575
29 24 2009.274193548387 2198.863636363636
29 24 2009.274193548387 2596.590909090909
29 24 2023.7903225806451 3051.1363636363635
29 24 2027.4193548387098 3212.121212121212
29 24 2114.516129032258 3268.9393939393935
29 24 2197.983870967742 3268.9393939393935
29 24 2245.1612903225805 3079.545454545454
29 24 2266.935483870968 2596.590909090909
29 24 2263.3064516129034 2274.621212121212
29 24 2263.3064516129034 1952.651515151515
29 24 2263.3064516129034 1630.681818181818
29 24 2256.048387096774 1299.242424242424
29 24 2216.1290322580644 920.4545454545453
29 24 2154.435483870968 702.651515151515
29 24 2031.0483870967741 532.1969696969695
29 24 1918.5483870967741 371.21212121212113
29 24 1845.967741935484 257.5757575757575
29 24 1704.4354838709678 162.87878787878776
30 25 #
30 25 1787.9032258064517 162.87878787878776
30 25 1914.9193548387098 361.74242424242414
30 25 2027.4193548387098 731.060606060606
30 25 2031.0483870967741 1005.681818181818
30 25 2049.1935483870966 1441.2878787878785
30 25 2063.709677419355 1943.181818181818
30 25 2056.451612903226 2312.4999999999995
30 25 2056.451612903226 2653.4090909090905
30 25 2056.451612903226 2937.4999999999995
30 25 2056.451612903226 3268.9393939393935
30 25 2158.064516129032 3392.045454545454
30 25 2295.967741935484 3392.045454545454
30 25 2364.9193548387098 3107.954545454545
30 25 2350.4032258064517 2520.833333333333
30 25 2339.516129032258 2094.6969696969695
30 25 2339.516129032258 1763.2575757575755
30 25 2339.516129032258 1526.5151515151513
30 25 2332.258064516129 1270.8333333333333
30 25 2306.8548387096776 1005.681818181818
30 25 2259.677419354839 863.6363636363635
30 25 2187.0967741935483 655.3030303030303
